rank,model,auc,auprc,accuracy,balanced_accuracy,f1,precision,recall
1,hoptimus1,0.900376,0.925617,0.812500,0.811404,0.823529,0.813953,0.833333
2,virchow,0.873434,0.889002,0.750000,0.748120,0.767442,0.750000,0.785714
3,hibou_l,0.872807,0.899287,0.800000,0.795739,0.822222,0.770833,0.880952
4,hoptimus0,0.865915,0.906551,0.750000,0.743108,0.787234,0.711538,0.880952
5,lunit-vits8,0.863409,0.896439,0.725000,0.719298,0.760870,0.700000,0.833333
6,uni_v2,0.858396,0.891320,0.787500,0.785088,0.804598,0.777778,0.833333
7,gigapath,0.854010,0.888489,0.762500,0.760025,0.781609,0.755556,0.809524
8,kaiko-vitb16,0.843358,0.876171,0.750000,0.748120,0.767442,0.750000,0.785714
9,uni_v1,0.835213,0.872991,0.737500,0.731203,0.774194,0.705882,0.857143
10,virchow2,0.832393,0.866066,0.737500,0.732456,0.769231,0.714286,0.833333
11,kaiko-vitl14,0.830514,0.870384,0.725000,0.721805,0.750000,0.717391,0.785714
12,musk,0.825815,0.870857,0.750000,0.749373,0.761905,0.761905,0.761905
13,conch_v1,0.820175,0.853282,0.675000,0.664160,0.740000,0.637931,0.880952
14,phikon,0.815789,0.857507,0.750000,0.746867,0.772727,0.739130,0.809524
15,phikon_v2,0.812657,0.821243,0.762500,0.760025,0.781609,0.755556,0.809524
16,kaiko-vits8,0.810150,0.833901,0.725000,0.725564,0.731707,0.750000,0.714286
17,conch_v15,0.802632,0.834560,0.750000,0.745614,0.777778,0.729167,0.833333
18,kaiko-vits16,0.787594,0.832553,0.675000,0.667920,0.723404,0.653846,0.809524
19,kaiko-vitb8,0.751253,0.790568,0.637500,0.633459,0.674157,0.638298,0.714286
20,resnet50,0.738722,0.805806,0.637500,0.630952,0.688172,0.627451,0.761905
21,midnight12k,0.698622,0.733188,0.612500,0.599624,0.699029,0.590164,0.857143
